timestamp,source_ip,source_port,destination_ip,destination_port,l4_proto,l2_proto,l7_proto
1716824063.117382,192.168.1.66,60088,172.64.155.141,443,TCP,2048,nil
1716824063.120516,172.64.155.141,443,192.168.1.66,60088,TCP,2048,nil
1716824063.120516,172.64.155.141,443,192.168.1.66,60088,TCP,2048,nil
1716824063.120516,172.64.155.141,443,192.168.1.66,60088,TCP,2048,nil
1716824063.120666,192.168.1.66,60088,172.64.155.141,443,TCP,2048,nil
1716824063.125216,192.168.1.66,60088,172.64.155.141,443,TCP,2048,nil
1716824063.125521,192.168.1.66,60088,172.64.155.141,443,TCP,2048,nil
1716824063.128466,172.64.155.141,443,192.168.1.66,60088,TCP,2048,nil
1716824063.128466,172.64.155.141,443,192.168.1.66,60088,TCP,2048,nil
1716824063.129417,192.168.1.66,60088,172.64.155.141,443,TCP,2048,nil
1716824063.133514,192.168.1.66,60008,162.159.134.234,443,TCP,2048,nil
1716824063.173524,172.64.155.141,443,192.168.1.66,60088,TCP,2048,nil
1716824063.208636,172.64.155.141,443,192.168.1.66,60088,TCP,2048,nil
1716824063.208636,172.64.155.141,443,192.168.1.66,60088,TCP,2048,nil
1716824063.208636,172.64.155.141,443,192.168.1.66,60088,TCP,2048,nil
1716824063.208636,172.64.155.141,443,192.168.1.66,60088,TCP,2048,nil
1716824063.208715,192.168.1.66,60088,172.64.155.141,443,TCP,2048,nil
1716824063.208739,192.168.1.66,60088,172.64.155.141,443,TCP,2048,nil
1716824063.210467,172.64.155.141,443,192.168.1.66,60088,TCP,2048,nil
1716824063.210479,192.168.1.66,60088,172.64.155.141,443,TCP,2048,nil
1716824063.232582,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.232881,192.168.1.66,50878,172.64.155.141,443,UDP,2048,nil
1716824063.562211,192.168.1.66,50878,172.64.155.141,443,UDP,2048,nil
1716824063.562268,192.168.1.66,50878,172.64.155.141,443,UDP,2048,nil
1716824063.562296,192.168.1.66,50878,172.64.155.141,443,UDP,2048,nil
1716824063.564921,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.565047,192.168.1.66,50878,172.64.155.141,443,UDP,2048,nil
1716824063.56793,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.771942,192.168.1.66,50878,172.64.155.141,443,UDP,2048,nil
1716824063.771986,192.168.1.66,50878,172.64.155.141,443,UDP,2048,nil
1716824063.77322,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.77322,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.77322,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.77322,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.77322,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.773649,192.168.1.66,50878,172.64.155.141,443,UDP,2048,nil
1716824063.774638,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.774638,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.774751,192.168.1.66,50878,172.64.155.141,443,UDP,2048,nil
1716824063.77611,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.803168,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.823001,192.168.1.66,50878,172.64.155.141,443,UDP,2048,nil
1716824063.824746,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.824746,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.824746,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.824746,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.824746,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.824923,192.168.1.66,50878,172.64.155.141,443,UDP,2048,nil
1716824063.878276,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.878276,172.64.155.141,443,192.168.1.66,50878,UDP,2048,nil
1716824063.878494,192.168.1.66,50878,172.64.155.141,443,UDP,2048,nil
1716824064.577397,192.168.1.66,58703,192.168.1.254,53,UDP,2048,DNS
1716824064.58497,192.168.1.254,53,192.168.1.66,58703,UDP,2048,DNS
1716824064.585797,192.168.1.66,58307,192.168.1.254,53,UDP,2048,DNS
1716824064.5868,192.168.1.66,50879,104.18.41.158,443,UDP,2048,nil
1716824064.587951,192.168.1.254,53,192.168.1.66,58307,UDP,2048,DNS
1716824064.588294,192.168.1.66,56529,192.168.1.254,53,UDP,2048,DNS
1716824064.597981,192.168.1.254,53,192.168.1.66,56529,UDP,2048,DNS
1716824064.665194,192.168.1.41,1900,239.255.255.250,1900,UDP,2048,nil
1716824064.666868,192.168.1.41,1900,239.255.255.250,1900,UDP,2048,nil
1716824064.678161,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.678161,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.678161,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.678161,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.678161,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.678161,104.18.41.158,443,192.168.1.66,50879,UDP,2048,nil
1716824064.680203,192.168.1.66,50879,104.18.41.158,443,UDP,2048,nil
1716824064.68208,192.168.1.66,60089,104.18.41.158,443,TCP,2048,nil
1716824064.68247,192.168.1.66,60090,104.18.41.158,443,TCP,2048,nil
1716824064.685281,192.168.1.66,60091,104.18.41.158,443,TCP,2048,nil
1716824064.685368,104.18.41.158,443,192.168.1.66,60089,TCP,2048,nil
1716824064.685444,192.168.1.66,60092,104.18.41.158,443,TCP,2048,nil
1716824064.68557,192.168.1.66,60089,104.18.41.158,443,TCP,2048,nil
1716824064.685611,192.168.1.66,60093,104.18.41.158,443,TCP,2048,nil
1716824064.68577,192.168.1.66,60094,104.18.41.158,443,TCP,2048,nil
1716824064.687268,192.168.1.66,60089,104.18.41.158,443,TCP,2048,nil
